shot_zone,season_year,total_shots,total_goals,avg_conversion_rate
slot,2019,89765.0,18433.0,20.62
slot,2013,23614.0,4656.0,19.83
slot,2011,23691.0,4642.0,19.72
slot,2012,14370.0,2780.0,19.55
slot,2010,24494.0,4741.0,19.49
slot,2018,103836.0,20004.0,19.38
slot,2017,25192.0,4889.0,19.36
slot,2015,23230.0,4412.0,19.07
slot,2014,23788.0,4489.0,18.92
slot,2016,24080.0,4493.0,18.64
other,2016,13071.0,1467.0,11.23
other,2013,12998.0,1445.0,11.21
other,2018,64624.0,7160.0,11.07
other,2014,12872.0,1428.0,11.06
other,2015,12880.0,1384.0,10.78
other,2011,12579.0,1343.0,10.7
other,2019,57793.0,5926.0,10.3
other,2012,7651.0,782.0,10.3
other,2017,16001.0,1615.0,10.02
other,2010,13274.0,1302.0,9.9
point,2012,7877.0,450.0,5.69
point,2018,54552.0,3012.0,5.58
point,2010,12806.0,690.0,5.38
point,2017,13801.0,732.0,5.21
point,2014,12889.0,672.0,5.21
point,2015,12548.0,643.0,5.17
point,2016,12658.0,650.0,5.13
point,2013,13238.0,674.0,5.11
point,2019,50453.0,2438.0,4.75
point,2011,12866.0,592.0,4.61
left_wing,2017,11032.0,381.0,3.49
right_wing,2019,38256.0,1282.0,3.39
right_wing,2017,11174.0,375.0,3.38
right_wing,2015,10725.0,347.0,3.24
right_wing,2018,43420.0,1408.0,3.23
left_wing,2019,39902.0,1281.0,3.22
left_wing,2018,44320.0,1416.0,3.2
right_wing,2012,6361.0,200.0,3.19
left_wing,2011,10543.0,333.0,3.11
right_wing,2014,10902.0,334.0,3.1
right_wing,2010,10971.0,336.0,3.08
left_wing,2012,6625.0,199.0,2.99
right_wing,2011,10952.0,323.0,2.95
left_wing,2014,10951.0,320.0,2.94
right_wing,2016,11091.0,329.0,2.91
left_wing,2010,10606.0,307.0,2.87
left_wing,2016,11177.0,312.0,2.78
left_wing,2013,11174.0,309.0,2.78
left_wing,2015,10728.0,296.0,2.77
right_wing,2013,10924.0,293.0,2.67
