venue,season_year,home_games,home_wins,home_win_pct,avg_home_goals,avg_away_goals,home_advantage_uplift
Honda Center,2017,43,26,60.47,3.0,2.53,10.47
Xcel Energy Center,2017,43,28,65.12,3.33,2.19,15.12
Air Canada Centre,2017,44,31,70.45,3.45,2.61,20.45
First Niagara Center,2015,41,16,39.02,2.37,2.73,-10.98
United Center,2017,41,18,43.9,2.9,2.73,-6.1
Rogers Place,2017,41,19,46.34,2.95,3.44,-3.66
Madison Square Garden,2015,43,27,62.79,3.05,2.53,12.79
Madison Square Garden,2016,47,25,53.19,3.09,2.85,3.19
KeyBank Center,2016,41,20,48.78,2.61,2.71,-1.22
Amalie Arena,2017,51,35,68.63,3.51,2.96,18.63
Citi Field,2017,1,0,0.0,2.0,3.0,-50.0
Honda Center,2014,50,33,66.0,2.98,2.58,16.0
MTS Centre,2014,43,23,53.49,3.12,2.6,3.49
Amalie Arena,2014,54,38,70.37,3.22,2.39,20.37
United Center,2014,52,33,63.46,2.94,2.23,13.46
Verizon Center,2014,46,27,58.7,2.98,2.24,8.7
Xcel Energy Center,2014,46,24,52.17,3.0,2.52,2.17
Air Canada Centre,2014,41,22,53.66,3.22,3.12,3.66
Bridgestone Arena,2013,41,19,46.34,2.59,2.9,-3.66
TD Garden,2013,48,35,72.92,3.17,1.81,22.92
CONSOL Energy Center,2013,48,31,64.58,3.17,2.38,14.58
Nassau Coliseum,2013,40,13,32.5,2.7,3.35,-17.5
Tampa Bay Times Forum,2013,43,25,58.14,3.14,2.65,8.14
Rexall Place,2013,41,16,39.02,2.59,3.29,-10.98
Wells Fargo Center,2012,24,15,62.5,2.92,2.67,12.5
BB&T Center,2012,24,8,33.33,2.71,3.38,-16.67
PNC Arena,2012,24,9,37.5,2.79,3.46,-12.5
Soldier Field,2013,1,1,100.0,5.0,1.0,50.0
RBC Center,2011,36,17,47.22,2.67,2.75,-2.78
Scottrade Center,2010,41,23,56.1,2.95,2.59,6.1
Prudential Center,2010,41,22,53.66,2.29,2.46,3.66
Scotiabank Place,2011,44,21,47.73,2.77,3.0,-2.27
First Niagara Center,2011,40,20,50.0,2.98,2.73,0.0
Madison Square Garden,2011,52,33,63.46,2.71,2.13,13.46
HP Pavilion at San Jose,2010,49,30,61.22,3.02,2.53,11.22
Citizens Bank Park,2011,1,0,0.0,2.0,3.0,-50.0
O2 Arena Berlin,2011,1,0,0.0,2.0,4.0,-50.0
BankAtlantic Center,2009,40,16,40.0,2.78,2.98,-10.0
Air Canada Centre,2009,41,18,43.9,2.59,2.85,-6.1
Honda Center,2009,41,25,60.98,3.46,2.93,10.98
United Center,2009,40,29,72.5,3.43,2.4,22.5
Verizon Center,2009,41,30,73.17,3.88,2.66,23.17
Xcel Energy Center,2009,41,25,60.98,3.2,2.9,10.98
Mellon Arena,2009,41,25,60.98,3.49,2.78,10.98
Globe Arena,2009,2,1,50.0,4.0,3.5,0.0
Rexall Place,2008,41,18,43.9,2.66,2.78,-6.1
Nassau Coliseum,2008,41,17,41.46,2.73,3.15,-8.54
Ericsson Globe,2008,2,0,0.0,2.0,3.5,-50.0
Rexall Place,2007,41,23,56.1,3.0,2.8,6.1
Nassau Coliseum,2007,41,18,43.9,2.17,2.68,-6.1
Wachovia Center,2006,41,10,24.39,2.8,3.71,-25.61
HSBC Arena,2006,41,28,68.29,4.05,3.02,18.29
HP Pavilion at San Jose,2002,36,17,47.22,2.83,2.78,-2.78
MCI Center,2002,39,24,61.54,3.13,2.82,11.54
Arrowhead Pond,2002,34,22,64.71,2.65,2.03,14.71
HSBC Arena,2003,37,21,56.76,3.24,2.76,6.76
Wachovia Center,2003,38,24,63.16,3.0,2.13,13.16
Savvis Center,2003,34,23,67.65,2.74,2.41,17.65
Mellon Arena,2005,41,12,29.27,3.24,3.8,-20.73
Xcel Energy Center,2005,41,23,56.1,3.15,2.59,6.1
Air Canada Centre,2005,41,26,63.41,3.59,3.15,13.41
BankAtlantic Center,2005,41,25,60.98,3.12,2.73,10.98
Verizon Center,2005,41,16,39.02,3.07,3.54,-10.98
